Profesor;Dia;Hora;Grupo
Juan;lunes;1;LIBRE
Juan;lunes;2;DAM1
Juan;lunes;3;DAM2
Juan;lunes;4;DAM2
Juan;lunes;5;LIBRE
Juan;lunes;6;TSMR2
Juan;martes;1;TSMR1
Juan;martes;2;TSMR1
Juan;martes;3;DAM1
Juan;martes;4;LIBRE
Juan;martes;5;DAM2
Juan;martes;6;TSMR2
Juan;miercoles;1;DAM1
Juan;miercoles;2;DAM2
Juan;miercoles;3;LIBRE
Juan;miercoles;4;TSMR1
Juan;miercoles;5;TSMR1
Juan;miercoles;6;DAM2
Juan;jueves;1;DAM2
Juan;jueves;2;LIBRE
Juan;jueves;3;DAM1
Juan;jueves;4;TSMR2
Juan;jueves;5;DAM2
Juan;jueves;6;LIBRE
Juan;viernes;1;LIBRE
Juan;viernes;2;DAM1
Juan;viernes;3;DAM1
Juan;viernes;4;TSMR1
Juan;viernes;5;TSMR2
Juan;viernes;6;LIBRE
